S,K,ST,KA,KASJS
25.02,58.81,18,40,39
25,58,18,39,37
23.69,58.34,18,37,40
23.31,58.34,18,40,40
23.48,58.48,17.5,40,40
23.65,58.62,17,40,40
23.82,58.76,16.5,40,40
24,58.91,16,40,40
26.07,56.75,16.5,40,40
28.14,54.59,17,40,40
32.34,46.34,19,40,41
33.42,43.68,20,41,41
35.53,40.3,22,41,40
35.72,39.69,22,40,41
36.22,39,23,41,40
35.26,38.92,24,40,42
33.73,40.95,25,42,41.98
33.71,41.11,24.99,41.98,41.96
33.69,41.27,24.98,41.96,41.94
33.67,41.43,24.97,41.94,41.92
33.65,41.59,24.96,41.92,41.9
33.63,41.75,24.95,41.9,41.88
33.61,41.91,24.94,41.88,41.86
33.59,42.07,24.93,41.86,41.84
33.57,42.23,24.92,41.84,41.82
33.55,42.39,24.91,41.82,41.8
33.53,42.55,24.9,41.8,41.78
33.51,42.7,24.89,41.78,41.76
33.49,42.86,24.88,41.76,41.74
33.47,43.02,24.87,41.74,41.72
33.45,43.17,24.86,41.72,41.7
33.43,43.32,24.85,41.7,41.68
33.41,43.48,24.84,41.68,41.66
33.39,43.64,24.83,41.66,41.64
33.37,43.79,24.82,41.64,41.62
33.35,43.94,24.81,41.62,41.6
33.33,44.1,24.8,41.6,41.58
33.31,44.26,24.79,41.58,41.56
33.29,44.41,24.78,41.56,41.54
33.27,44.56,24.77,41.54,41.52
33.25,44.72,24.76,41.52,41.5
33.23,44.88,24.75,41.5,41.48
33.21,45.03,24.74,41.48,41.46
33.19,45.18,24.73,41.46,41.44
33.17,45.34,24.72,41.44,41.42
33.15,45.5,24.71,41.42,41.4
33.13,45.65,24.7,41.4,41.38
33.11,45.8,24.69,41.38,41.36
33.09,45.96,24.68,41.36,41.34
33.07,46.12,24.67,41.34,41.32
33.05,46.27,24.66,41.32,41.3
33.03,46.42,24.65,41.3,41.28
33.01,46.58,24.64,41.28,41.26
32.99,46.74,24.63,41.26,41.24
32.97,46.89,24.62,41.24,41.22
32.95,47.04,24.61,41.22,41.2
32.93,47.2,24.6,41.2,41.18
32.91,47.36,24.59,41.18,41.16
32.89,47.51,24.58,41.16,41.14
32.87,47.66,24.57,41.14,41.12
