S,K,ST,KA,KASJS
34.11,43.86,24.42,29.36,29.06
33.85,44.2,24.4,29.06,28.76
33.6,44.54,24.38,28.76,28.46
33.34,44.88,24.36,28.46,28.16
33.09,45.23,24.34,28.16,27.86
32.84,45.58,24.32,27.86,27.56
32.58,45.92,24.3,27.56,27.26
32.32,46.26,24.28,27.26,26.96
32.07,46.61,24.25,26.96,26.66
31.82,46.96,24.22,26.66,26.36
31.56,47.3,24.2,26.36,26.06
31.3,47.64,24.18,26.06,25.77
31.05,47.99,24.15,25.77,25.48
30.8,48.34,24.12,25.48,25.18
30.54,48.68,24.1,25.18,24.88
30.28,49.02,24.08,24.88,24.59
30.03,49.37,24.05,24.59,24.3
29.78,49.72,24.02,24.3,24
29.52,50.06,24,24,23
28.79,52.6,23,23,22.62
28.2,53.02,22.38,22.62,22.25
27.61,53.44,21.75,22.25,21.88
27.02,53.86,21.12,21.88,21.5
26.43,54.29,20.5,21.5,21.12
25.84,54.72,19.88,21.12,20.75
25.25,55.14,19.25,20.75,20.38
24.66,55.56,18.62,20.38,20
24.08,55.99,18,20,20
23.65,56.04,17,20,20
23.32,55.84,17,20,20
23.16,56.07,16,20,20
26.23,55,17,20,20
29.46,52.32,18,20,21
33.85,47.21,20,21,41
33.57,49.71,23,41,36
33.19,52.25,24,36,34
33.98,48.22,24,34,33
35.48,45.06,25,33,32
35.21,44.09,25,32,31
32.03,47.36,25,31,31
32.03,47.36,25,31,30.77
32.08,47.39,24.95,30.77,30.54
32.13,47.42,24.9,30.54,30.31
32.18,47.45,24.85,30.31,30.08
32.23,47.48,24.81,30.08,29.85
32.28,47.51,24.76,29.85,29.62
32.34,47.54,24.72,29.62,29.39
32.4,47.57,24.67,29.39,29.16
32.45,47.6,24.63,29.16,28.93
32.51,47.62,24.58,28.93,28.7
32.56,47.65,24.54,28.7,28.48
32.62,47.68,24.49,28.48,28.25
32.67,47.7,24.45,28.25,28.02
32.72,47.72,24.4,28.02,27.8
32.78,47.75,24.36,27.8,27.58
32.84,47.78,24.32,27.58,27.35
32.89,47.8,24.27,27.35,27.12
32.94,47.82,24.22,27.12,26.9
33,47.85,24.18,26.9,26.67
33.06,47.88,24.14,26.67,26.45
33.11,47.9,24.09,26.45,26.22
33.16,47.92,24.04,26.22,26
33.22,47.95,24,26,26
32.68,48.79,24,26,25
29.92,51.59,24,25,25
29,54.28,23,25,24
28.5,55.17,23,24,24
28.09,56.2,22,24,23.88
27.9,56.46,21.62,23.88,23.75
27.71,56.72,21.25,23.75,23.62
27.52,56.98,20.88,23.62,23.5
27.32,57.23,20.5,23.5,23.38
27.12,57.48,20.12,23.38,23.25
26.93,57.74,19.75,23.25,23.12
26.74,58,19.38,23.12,23
26.54,58.25,19,23,23
25.87,58.24,19,23,23
25.5,58.17,19,23,23
25.44,58.06,18,23,23
26.54,57.75,18,23,23
29.83,55.29,19,23,24
33.82,49.19,21,24,23
32.53,49.34,23,23,24
35.26,46.12,24,24,24
35.63,44.84,26,24,24
34.38,46.99,26,24,24
33.73,47.54,26,24,24
34.66,46.66,26,24,23
31.24,50.7,26,23,22
29.69,53.38,24,22,23
29,54.76,23,23,23
28.54,55.69,23,23,23
28.31,56,22.62,23,23
28.08,56.31,22.25,23,23
27.85,56.62,21.88,23,23
27.62,56.93,21.5,23,23
27.38,57.24,21.12,23,23
27.15,57.55,20.75,23,23
26.92,57.86,20.38,23,23
26.68,58.17,20,23,23
26.82,58.27,20,23,23
26.69,58.19,19,23,23
26.75,58.29,19,23,23
27.84,57.86,19,23,24
28.34,57.55,20,24,61
30.27,56.38,21,61,54
32.4,53.39,22,54,55
31.62,53.41,22,55,50
31.39,52.49,23,50,50
31.98,54.79,23,50,50
32.56,57.09,23,50,50
30.04,60.29,23,50,49
29.95,59.16,23,49,51
29.54,58.97,23,51,49
28.96,59.15,22,49,50
28.58,59.25,22,50,49.62
28.5,59.28,21.75,49.62,49.25
28.42,59.31,21.5,49.25,48.88
28.34,59.34,21.25,48.88,48.5
28.26,59.37,21,48.5,48.12
28.18,59.4,20.75,48.12,47.75
28.09,59.44,20.5,47.75,47.38
28.01,59.47,20.25,47.38,47
27.92,59.51,20,47,47
27.54,59.56,20,47,48
27.45,59.62,20,48,47
27.24,59.76,20,47,47
28.08,59.41,20,47,50
29.61,57.83,20,50,51
33.23,53.22,21,51,50
35.04,48.04,22,50,51
35.38,45.74,23.5,51,52
35.71,43.43,25,52,55
35.42,46.25,25,55,54
37.5,41.26,25,54,54
33.8,45.97,26,54,55
33.24,47.96,26,55,56
32.22,50.56,25,56,51
29.99,53.71,25,51,51
29.32,55,24,51,50.75
29,55.36,23.5,50.75,50.5
28.68,55.72,23,50.5,50.25
28.36,56.08,22.5,50.25,50
28.04,56.44,22,50,49.75
27.72,56.8,21.5,49.75,49.5
27.39,57.16,21,49.5,49.25
27.06,57.52,20.5,49.25,49
26.74,57.89,20,49,49
26.92,58.06,20,49,49.5
26.21,58.1,19.5,49.5,50
25.5,58.13,19,50,48
27.36,57.61,19,48,51
30.46,54.73,20,51,53
34.48,48.77,21,53,50
34.81,46.5,22,50,55
34.52,46.63,23,55,55
36.98,41.46,24,55,55
35.49,41.35,25,55,54
37.15,39.22,25,54,54
36,40.29,26,54,54
32.22,47.52,26,54,54.5
31.58,48.92,25.5,54.5,55
30.95,50.32,25,55,55
30.95,50.32,25,55,54.38
30.47,51.18,24.5,54.38,53.75
29.99,52.04,24,53.75,53.12
29.51,52.9,23.5,53.12,52.5
29.03,53.76,23,52.5,51.88
28.55,54.62,22.5,51.88,51.25
28.07,55.48,22,51.25,50.62
27.6,56.34,21.5,50.62,50
27.12,57.2,21,50,47
26.39,57.61,20,47,49
25.52,57.88,20,49,48
25.1,57.75,19,48,47
27.26,57.19,19,47,48
30.35,54.68,19,48,49
35.03,47.48,21,49,54
40.62,39.09,22,54,54
39.35,38.5,23,54,52
30.57,57.29,24,52,50
30.89,62.4,23,50,48
39.58,47.38,24,48,48
39.66,45.18,24,48,48
39.66,45.18,24,48,47
39.54,40.91,25,47,47
39.54,40.91,25,47,47
39.54,40.91,25,47,46.62
38.62,41.08,24.38,46.62,46.25
37.7,41.25,23.75,46.25,45.88
36.78,41.42,23.12,45.88,45.5
35.86,41.59,22.5,45.5,45.12
34.94,41.76,21.88,45.12,44.75
34.02,41.93,21.25,44.75,44.38
33.1,42.1,20.62,44.38,44
32.17,42.26,20,44,44
32.17,42.26,20,44,44.08
32.14,42.4,20.04,44.08,44.16
32.11,42.54,20.08,44.16,44.24
32.08,42.68,20.12,44.24,44.32
32.05,42.82,20.16,44.32,44.4
32.02,42.96,20.2,44.4,44.48
31.99,43.1,20.24,44.48,44.56
31.96,43.24,20.27,44.56,44.64
31.93,43.38,20.3,44.64,44.72
31.9,43.52,20.34,44.72,44.8
31.87,43.66,20.38,44.8,44.88
31.84,43.8,20.41,44.88,44.96
31.81,43.94,20.44,44.96,45.04
31.78,44.08,20.48,45.04,45.12
31.75,44.22,20.52,45.12,45.2
31.72,44.36,20.55,45.2,45.28
31.69,44.5,20.58,45.28,45.36
31.66,44.64,20.62,45.36,45.44
31.63,44.78,20.66,45.44,45.52
31.6,44.92,20.69,45.52,45.6
31.57,45.06,20.72,45.6,45.68
31.54,45.2,20.76,45.68,45.76
31.51,45.34,20.8,45.76,45.84
31.48,45.48,20.83,45.84,45.92
31.45,45.62,20.86,45.92,46
31.42,45.76,20.9,46,46.08
31.39,45.9,20.94,46.08,46.16
31.36,46.04,20.97,46.16,46.24
31.33,46.18,21,46.24,46.32
31.3,46.32,21.04,46.32,46.4
31.27,46.46,21.08,46.4,46.48
31.24,46.6,21.11,46.48,46.56
31.21,46.74,21.14,46.56,46.64
31.18,46.89,21.18,46.64,46.72
31.15,47.04,21.22,46.72,46.8
31.12,47.18,21.25,46.8,46.88
31.09,47.32,21.28,46.88,46.96
31.06,47.47,21.32,46.96,47.04
31.03,47.62,21.36,47.04,47.12
31,47.76,21.39,47.12,47.2
30.97,47.9,21.42,47.2,47.28
30.94,48.05,21.46,47.28,47.36
30.91,48.2,21.5,47.36,47.44
30.88,48.34,21.53,47.44,47.52
30.86,48.49,21.56,47.52,47.6
30.83,48.63,21.6,47.6,47.68
30.8,48.78,21.64,47.68,47.77
30.78,48.92,21.67,47.77,47.86
30.76,49.07,21.7,47.86,47.94
30.73,49.21,21.74,47.94,48.02
30.7,49.36,21.78,48.02,48.11
30.68,49.5,21.81,48.11,48.2
30.66,49.64,21.84,48.2,48.28
30.63,49.79,21.88,48.28,48.36
30.6,49.94,21.92,48.36,48.45
30.58,50.08,21.95,48.45,48.54
30.56,50.22,21.98,48.54,48.62
30.53,50.37,22.02,48.62,48.7
30.51,50.52,22.06,48.7,48.79
30.48,50.66,22.09,48.79,48.88
30.46,50.8,22.12,48.88,48.96
30.43,50.95,22.16,48.96,49.04
30.4,51.1,22.2,49.04,49.13
30.38,51.24,22.23,49.13,49.22
30.36,51.39,22.26,49.22,49.3
30.33,51.53,22.3,49.3,49.38
30.3,51.68,22.34,49.38,49.47
30.28,51.82,22.37,49.47,49.56
30.26,51.96,22.4,49.56,49.64
30.23,52.11,22.44,49.64,49.72
30.2,52.26,22.48,49.72,49.81
30.18,52.4,22.51,49.81,49.9
30.16,52.54,22.54,49.9,49.98
30.13,52.69,22.58,49.98,50.06
30.1,52.84,22.62,50.06,50.15
30.08,52.98,22.65,50.15,50.24
30.06,53.12,22.68,50.24,50.32
30.03,53.27,22.72,50.32,50.4
30.01,53.42,22.76,50.4,50.49
29.98,53.56,22.79,50.49,50.58
29.96,53.7,22.82,50.58,50.66
